motor_id,motor_manufacturer,motor_model,motor_kv,motor_mass_each_g,motor_max_current_a,prop_id,prop_model,prop_diameter_in,prop_pitch_in,prop_mass_each_g,prop_price_each_usd,battery_id,battery_type,battery_manufacturer,battery_model,battery_topology,battery_voltage_v,battery_capacity_ah,battery_energy_wh,battery_mass_kg,battery_max_cont_current_a,battery_price_usd,battery_confidence,esc_id,esc_manufacturer,esc_model,esc_cont_current_a,esc_mass_each_g,esc_price_each_usd,esc_confidence,fixed_mass_kg,frame_mass_kg,frame_motor_spacing_m,frame_arm_radius_m,frame_tip_to_tip_span_m,frame_geometry_mass_kg,frame_battery_mount_mass_kg,frame_reinforcement_mass_kg,frame_design_arm_root_moment_nm,frame_material,frame_arm_tube_od_mm,frame_arm_tube_wall_mm,frame_arm_tube_length_m,frame_arm_stress_mpa,frame_arm_tip_deflection_mm,frame_arm_stress_utilization_pct,frame_arm_deflection_utilization_pct,frame_arms_mass_kg,frame_center_plate_mass_kg,frame_battery_tray_mass_kg,frame_hardware_joint_mass_kg,auw_kg,hover_throttle_pct,hover_rpm,max_rpm,hover_power_total_w,hover_pack_current_a,max_pack_current_a,max_motor_current_actual_a,max_twr,endurance_min,known_component_cost_usd,cost_coverage_pct,propulsion_cost_usd,propulsion_cost_coverage_pct,frame_cost_estimate_usd,fixed_nonpropulsion_cost_usd,whole_aircraft_estimated_cost_usd,budget_mode,budget_limit_usd,motor_price_each_usd,motor_cost_total_usd,prop_cost_total_usd,battery_cost_usd,esc_cost_total_usd,evaluation_mode,propulsion_curve_cache_key,propulsion_curve_cache_hit,explore_candidate_id,decision_frame_allowance_usd,decision_camera_avionics_allowance_usd,decision_propulsion_estimated_cost_usd,decision_total_estimated_cost_usd,decision_price_estimated_categories,decision_price_actual_categories,decision_estimated_part_count,decision_diy_subsystems,decision_quality_score,decision_complexity_score,decision_cost_score,decision_endurance_score,decision_weight_score,decision_matrix_score,decision_weight_cost_pct,decision_weight_endurance_pct,decision_weight_aircraft_mass_pct,decision_weight_quality_pct,decision_weight_complexity_pct,decision_rank
NeuMotors_4610MC-207,NeuMotors,4610MC-207,207.0,130.1,24.0,APC_19x10E,19x10E,19.0,10.0,83.00697,15.59,custom:fcde6dc9431046231f6f:6S4P,Custom Li-ion,Molicel,INR-21700-M65A,6S4P,21.6,26.0,561.6,1.9668,104.0,,Ready,4420b0e1b6c93b81ca45,HOBBYWING,XRotor Pro H60A 6S BLDC Specifications Input Voltage 4-6S,40.0,3.0,,Ready,0.5,0.8131424656980493,0.5326,0.37660507165995516,1.2358101433199102,0.46321657182688003,0.12592589387116931,0.174,5.791372183339546,Carbon fiber,14,1.0,0.2533259709763286,46.71188106312207,2.3791194265717026,15.57062702104069,93.91533830512836,0.06621447118064358,0.3970021006462364,0.12592589387116931,0.174,4.14437034569805,65.62499999999999,2516.6957356282505,3633.2082283522013,349.405589306909,16.176184690134676,48.04262488244759,11.837045109870443,2.0938281369408696,79.07921580421508,62.36,25.0,62.36,25.0,220.0,700.0,,off,,,,62.36,,,exact_validated,,,307e2670c806d76e,220.0,700.0,652.36,1572.3600000000001,"motors, battery, escs",1,59,3,91.75,64.10474641700225,89.88774151764831,100.0,95.38186344134188,91.01360095790524,35.0,25.0,17.0,13.0,10.0,1
Xoar_Titan_T4008_320KV,Xoar,Titan T4008 320KV,320.0,81.6,20.0,APC_15x7E,15x7E,15.0,7.0,44.996128,8.05,custom:fcde6dc9431046231f6f:6S4P,Custom Li-ion,Molicel,INR-21700-M65A,6S4P,21.6,26.0,561.6,1.9668,104.0,,Ready,4420b0e1b6c93b81ca45,HOBBYWING,XRotor Pro H60A 6S BLDC Specifications Input Voltage 4-6S,40.0,3.0,,Ready,0.5,0.7750664528685559,0.431,0.304763022691402,0.990526045382804,0.43714055899738646,0.12592589387116931,0.162,3.7644210206316395,Carbon fiber,12,1.0,0.18148392200777544,42.85850706259766,1.3070421572018882,14.286169020865888,72.01972178813118,0.040138458351150035,0.3970021006462364,0.12592589387116931,0.162,3.760250964868556,65.39062499999999,3969.144988897112,5796.347453285147,381.8706543463404,17.679196960478723,53.31956457060479,13.15628003160606,2.151109163077408,72.35622765330409,32.2,25.0,32.2,25.0,220.0,700.0,,off,,,,32.2,,,exact_validated,,,e738780b4d5d487e,220.0,700.0,622.2,1542.2,"motors, battery, escs",1,59,3,91.84375,71.43684886542991,96.67002482639514,80.82249276518263,100.0,90.12350426707695,35.0,25.0,17.0,13.0,10.0,2
MAD_Comp._5005_280KV,MAD Comp.,5005 280KV,280.0,88.2,19.0,APC_18x5.5MR,18x5.5MR,18.0,5.5,61.007855,12.16,custom:3a63238e6e6c8ce0d7fa:6S5P,Custom Li-ion,Molicel,INR-21700-P60C,6S5P,21.6,30.0,648.0,2.475,300.0,,Ready,4420b0e1b6c93b81ca45,HOBBYWING,XRotor Pro H60A 6S BLDC Specifications Input Voltage 4-6S,40.0,3.0,,Ready,0.5,0.9200147288340099,0.5072,0.35864455941781687,1.1744891188356337,0.5405407331868575,0.1554739956471525,0.174,5.534408037058071,Carbon fiber,14,1.0,0.22276370188215458,44.63926713699285,1.7580667634965754,14.87975571233095,78.92070156145186,0.058226089735377726,0.4823146434514798,0.1554739956471525,0.174,4.50384614883401,61.95312500000001,3196.369420123577,4850.140015156659,416.71570056438117,19.292393544647275,66.00851107980905,16.328516665039967,2.322604603455341,76.50683657184258,48.64,25.0,48.64,25.0,220.0,700.0,,off,,,,48.64,,,exact_validated,,,59edb2a20d58cbb9,220.0,700.0,638.64,1558.6399999999999,"motors, battery, escs",1,65,3,93.21875,63.53777202910916,92.97305076817908,98.4327234139086,76.53007605814601,88.63107625513555,35.0,25.0,17.0,13.0,10.0,3
NeuMotors_4610MC-274,NeuMotors,4610MC-274,274.0,130.1,38.0,APC_18x5.5MR,18x5.5MR,18.0,5.5,61.007855,12.16,custom:fcde6dc9431046231f6f:6S5P,Custom Li-ion,Molicel,INR-21700-M65A,6S5P,21.6,32.5,702.0,2.4585,130.0,,Ready,4420b0e1b6c93b81ca45,HOBBYWING,XRotor Pro H60A 6S BLDC Specifications Input Voltage 4-6S,40.0,3.0,,Ready,0.5,0.9164132794800866,0.5072,0.35864455941781687,1.1744891188356337,0.5378944559815161,0.15451882349857052,0.174,5.725601610762923,Carbon fiber,14,1.0,0.22315128849895732,46.18139069462342,1.8251361182414747,15.393796898207807,81.78918125538867,0.058327397322473426,0.47956705865904264,0.15451882349857052,0.174,4.651344699480086,62.890625,3247.988634034238,4885.771814992906,413.41403523341216,19.139538668213525,64.57098679306038,15.969135590368865,2.282672567916586,83.54433341988435,48.64,25.0,48.64,25.0,220.0,700.0,,off,,,,48.64,,,exact_validated,,,dfc8175442f032f1,220.0,700.0,638.64,1558.6399999999999,"motors, battery, escs",1,65,3,92.84375,63.53777202910916,92.97305076817908,100.0,68.79489251629937,87.65916419954448,35.0,25.0,17.0,13.0,10.0,4
