product_name,sku,price_usd,status,pitch_in,diameter_in,weight_g,categories
20.5x20.5E(CD),LP205205E(CD),25.52,In Stock,20.5,20.5,87.90574199999999,Thin Electric
21x10.5PN,LP210105PN,34.19,In Stock,10.5,21.0,160.162629,Pattern
21x10.5PNC,LP210105PNC,89.59,In Stock,10.5,21.0,121.01781199999998,"Carbon Fiber, Pattern, Pattern Carbon Fiber"
21x10PN,LP21010PN,34.19,In Stock,10.0,21.0,164.01814399999998,Pattern
21x10PNC,LP21010PNC,89.59,In Stock,10.0,21.0,123.92078799999999,"Carbon Fiber, Pattern, Pattern Carbon Fiber"
21x10W,LP21010W,34.19,In Stock,10.0,21.0,225.116717,"Sport, IMAC Aerobatic"
21x10WPN,LP21010WPN,34.19,Discontinued,10.0,21.0,170.958071,Pattern
21x10WPNC,LP21010WPNC,89.59,In Stock,10.0,21.0,129.182432,"Carbon Fiber, Pattern, Pattern Carbon Fiber"
21x12WE,LP21012WE,21.09,In Stock,12.0,21.0,126.007302,Thin Electric
21x13.5EPNC,LP210135EPNC,55.57,In Stock,13.5,21.0,79.015378,"Thin Electric, Carbon Fiber (Electric Only), Pattern (Electric Only)"
21x13E,LP21013E,21.09,In Stock,13.0,21.0,109.99557499999999,Thin Electric
21x13WE,LP21013WE,21.09,In Stock,13.0,21.0,128.003098,Thin Electric
21.5x10.5PN,LP215105PN,34.19,In Stock,10.5,21.5,180.98241,Pattern
21.5x10.5PNC,LP215105PNC,89.59,In Stock,10.5,21.5,126.007302,"Carbon Fiber, Pattern, Pattern Carbon Fiber"
21.5x10WPNC,LP21510WPNC,89.59,In Stock,10.0,21.5,128.003098,"Carbon Fiber, Pattern, Pattern Carbon Fiber"
21.5x13EPNC,LP21513EPNC,55.57,In Stock,13.0,21.5,81.011174,"Thin Electric, Carbon Fiber (Electric Only), Pattern (Electric Only)"
22x10,LP22010,37.99,In Stock,10.0,22.0,233.87100399999997,"Sport, Giant Scale Racing"
22x10E,LP22010E,24.33,In Stock,10.0,22.0,133.990486,Thin Electric
22x11E,LP22011E,24.33,Discontinued,11.0,22.0,120.019914,Thin Electric
22x12E,LP22012E,24.33,In Stock,12.0,22.0,135.986282,Thin Electric
22x12WE,LP22012WE,24.33,In Stock,12.0,22.0,157.98539699999998,Thin Electric
22x13EPNC,LP22013EPNC,58.97,In Stock,13.0,22.0,86.00066399999999,"Thin Electric, Carbon Fiber (Electric Only), Pattern (Electric Only)"
22x8,LP22080,37.99,In Stock,8.0,22.0,240.13054599999998,"Sport, Giant Scale Racing"
24x12E,LP24012E,31.8,In Stock,12.0,24.0,164.01814399999998,Thin Electric
24x12EP,LP24012EP,31.8,In Stock,12.0,24.0,164.01814399999998,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation)"
25x12.5E,LP25125E,36.06,In Stock,12.5,25.0,223.12092099999998,Thin Electric
26x13E,LP26013E,40.66,In Stock,13.0,26.0,209.01427199999998,Thin Electric
26x15E,LP26015E,40.66,In Stock,15.0,26.0,214.003762,Thin Electric
27x13E,LP27013E,45.64,In Stock,13.0,27.0,232.01128499999996,"Thin Electric, Multi Rotor (Electric Only)"
27x13EP,LP27013EP,45.64,In Stock,13.0,27.0,232.01128499999996,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Multi Rotor (Electric Only)"
28x20C(P-51),LP28020C(P-51),60.9,In Stock,20.0,28.0,121.01781199999998,"Carbon Fiber, Sport"
20x14C,LP2B20014C,115.5,Discontinued,14.0,20.0,104.915367,Carbon Fiber
22x12C,LP2C22012C,143.22,Discontinued,12.0,22.0,104.915367,Carbon Fiber
4x4E-3-B4,LP304040E-B4,6.22,In Stock,4.0,4.0,15.966368,"Bundle (2 CW & 2 CCW), FPV Racing / Freestyle, 3 Bladed (Electric Only)"
5x4E-3-B4,LP305040E-B4,6.22,In Stock,4.0,5.0,23.768116,"Bundle (2 CW & 2 CCW), FPV Racing / Freestyle, 3 Bladed (Electric Only)"
9x6-3,LP309060,10.2,Discontinued,6.0,9.0,0.0,"Sport, 3 Bladed (for IC Engines)"
9x8E-3,LP309080E,10.2,In Stock,8.0,9.0,25.990706999999997,"Thin Electric, 3 Bladed (Electric Only)"
10x7-3,LP310070,11.33,Discontinued,7.0,10.0,0.0,"Sport, 3 Bladed (for IC Engines)"
11x7E-3,LP311070E,12.46,In Stock,7.0,11.0,30.980196999999997,"Thin Electric, 3 Bladed (Electric Only)"
12x7E-3,LP312070E,14.73,In Stock,7.0,12.0,39.008739999999996,"Thin Electric, 3 Bladed (Electric Only)"
13.4x13.5-3,LP3134135,24.9,Discontinued,13.5,13.4,0.0,"Sport, Pattern, 3 Bladed (for IC Engines)"
15x13W-3,LP3150130W,28.3,Discontinued,13.0,15.0,116.980861,"Sport, Pattern, 3 Bladed (for IC Engines)"
15x13.5-3,LP3150135,28.3,In Stock,13.5,15.0,96.115721,"Sport, Pattern, 3 Bladed (for IC Engines)"
15.75x13-3,LP3157513,29.43,In Stock,13.0,15.75,121.06317100000001,"Sport, Pattern, 3 Bladed (for IC Engines)"
9x6-4,LP409060,10.2,In Stock,6.0,9.0,24.992809,"Sport, 4 Bladed (for IC Engines)"
10x6-4,LP410060,11.33,In Stock,6.0,10.0,36.015046,"Sport, 4 Bladed (for IC Engines)"
11x6-4,LP411060,12.46,In Stock,6.0,11.0,46.991924,"Sport, 4 Bladed (for IC Engines)"
11x9-4,LP411090,12.46,In Stock,9.0,11.0,40.006637999999995,"Sport, 4 Bladed (for IC Engines)"
13x13-4,LP413013,22.63,Discontinued,13.0,13.0,0.0,"Sport, Pattern, 4 Bladed (for IC Engines)"
13.8x10-4,LP413810,24.9,Discontinued,10.0,13.8,0.0,"Sport, Pattern, 4 Bladed (for IC Engines)"
14.5x11-4,LP414511,26.93,Discontinued,11.0,14.5,0.0,"Sport, Pattern, 4 Bladed (for IC Engines)"
14.5x12-4,LP414512,26.93,Discontinued,12.0,14.5,117.978759,"Sport, Pattern, 4 Bladed (for IC Engines)"
15x11-4,LP415011,28.3,Discontinued,11.0,15.0,0.0,"Sport, Pattern, 4 Bladed (for IC Engines)"
15.5x12-4,LP415512,29.43,In Stock,12.0,15.5,119.929196,"Sport, Pattern, 4 Bladed (for IC Engines)"
B4x3.3E-B4,LPB04033E-B4,5.63,In Stock,3.3,4.0,12.519084,"Bundle (2 CW & 2 CCW), Black FPV, Black MR"
B4x4.5E-B4,LPB04045E-B4,5.63,In Stock,4.5,4.0,12.519084,"Bundle (2 CW & 2 CCW), Black FPV, Black MR"
B5x3E-B4,LPB05030E-B4,5.63,In Stock,3.0,5.0,12.519084,"Bundle (2 CW & 2 CCW), Black FPV, Black MR"
B5x4.3E-B4,LPB05043E-B4,5.63,In Stock,4.3,5.0,19.957959999999996,"Bundle (2 CW & 2 CCW), Black FPV, Black MR"
B5x4.5E-B4,LPB05045E-B4,5.63,In Stock,4.5,5.0,19.957959999999996,"Bundle (2 CW & 2 CCW), Black FPV, Black MR"
B5x4.6E-B4,LPB05046E-B4,5.63,In Stock,4.6,5.0,19.957959999999996,"Bundle (2 CW & 2 CCW), Black FPV, Black MR"
B5x5E,LPB05050E,2.55,In Stock,5.0,5.0,3.991592,"Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Black Speed 400"
B5x5E-B4,LPB05050E-B4,5.63,In Stock,5.0,5.0,15.966368,"Bundle (2 CW & 2 CCW), Black FPV, Black MR"
B5x5EP,LPB05050EP,2.55,In Stock,5.0,5.0,3.991592,"Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Speed 400 Reverse Rotation (Left Hand Rotation), Black Speed 400"
B5.5x4.5E,LPB05545E,2.55,In Stock,4.5,5.5,3.991592,"Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Black Speed 400"
B5.5x4.5E-B4,LPB05545E-B4,5.63,In Stock,4.5,5.5,15.966368,"Bundle (2 CW & 2 CCW), Black FPV, Black MR"
B5.5x4.5EP,LPB05545EP,2.55,In Stock,4.5,5.5,3.991592,"Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Speed 400 Reverse Rotation (Left Hand Rotation), Black Speed 400"
B6x4E,LPB06040E,2.59,In Stock,4.0,6.0,5.125566999999999,"Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Black Speed 400"
B6x4E-B4,LPB06040E-B4,6.05,In Stock,4.0,6.0,20.502267999999997,"Bundle (2 CW & 2 CCW), Black FPV, Black MR"
B6x4EP,LPB06040EP,2.59,In Stock,4.0,6.0,5.125566999999999,"Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Black FPV, Black MR, Speed 400 Reverse Rotation (Left Hand Rotation), Black Speed 400"
B6x4.5E-B4,LPB06045E-B4,6.05,In Stock,4.5,6.0,28.304015999999997,"Bundle (2 CW & 2 CCW), Black FPV, Black MR"
B6x5.5E,LPB06055E,2.59,In Stock,5.5,6.0,5.125566999999999,"Thin Electric, Black Thin Electric"
B6x6E,LPB06060E,2.59,In Stock,6.0,6.0,4.989489999999999,"Thin Electric, Multi Rotor (Electric Only), Black MR, Black Thin Electric"
B6x6E-B4,LPB06060E-B4,6.05,In Stock,6.0,6.0,20.502267999999997,"Bundle (2 CW & 2 CCW), Black MR"
B6x6EP,LPB06060EP,2.59,In Stock,6.0,6.0,4.989489999999999,"Thin Electric, Multi Rotor (Electric Only), Electric Reverse Rotation (Left Hand Rotation), Black MR, Black Thin Electric"
B7x4E,LPB07040E,2.71,In Stock,4.0,7.0,7.983184,"Thin Electric, Multi Rotor (Electric Only), Black MR, Black Thin Electric"
B7x4E-B4,LPB07040E-B4,7.06,In Stock,4.0,7.0,31.932736,"Bundle (2 CW & 2 CCW), Black MR"
B7x4EP,LPB07040EP,2.71,In Stock,4.0,7.0,7.983184,"Thin Electric, Multi Rotor (Electric Only), Electric Reverse Rotation (Left Hand Rotation), Black MR, Black Thin Electric"
B7x5E,LPB07050E,2.71,In Stock,5.0,7.0,7.983184,"Thin Electric, Multi Rotor (Electric Only), Black MR, Black Thin Electric"
B7x5E-B4,LPB07050E-B4,7.06,In Stock,5.0,7.0,31.932736,"Bundle (2 CW & 2 CCW), Black MR"
B7x5EP,LPB07050EP,2.71,In Stock,5.0,7.0,7.983184,"Thin Electric, Multi Rotor (Electric Only), Electric Reverse Rotation (Left Hand Rotation), Black MR, Black Thin Electric"
B7x6E,LPB07060E,2.71,In Stock,6.0,7.0,7.983184,"Thin Electric, Multi Rotor (Electric Only), Black MR, Black Thin Electric"
B7x6E-B4,LPB07060E-B4,7.06,In Stock,6.0,7.0,31.932736,"Bundle (2 CW & 2 CCW), Black MR"
B7x6EP,LPB07060EP,2.71,In Stock,6.0,7.0,7.983184,"Thin Electric, Multi Rotor (Electric Only), Electric Reverse Rotation (Left Hand Rotation), Black MR, Black Thin Electric"
B7x7E,LPB07070E,2.71,In Stock,7.0,7.0,7.983184,"Thin Electric, Black Thin Electric"
B8x3.8SF,LPB08038SF,2.78,In Stock,3.8,8.0,7.076003999999999,"Multi Rotor (Electric Only), Slow Fly (Electric Only), Black MR, Black SF"
